  7.3477677e+006 -5.0000000e+002 -5.3881169e+002 -7.6951014e+002
  7.3477678e+006 -5.0000000e+002 -5.4282954e+002 -7.6951597e+002
  7.3477679e+006 -5.0000000e+002 -5.4684736e+002 -7.6952175e+002
  7.3477680e+006 -5.0000000e+002 -5.5086516e+002 -7.6952754e+002
  7.3477681e+006 -5.0000000e+002 -5.5488293e+002 -7.6953299e+002
  7.3477682e+006 -5.0000000e+002 -5.5890067e+002 -7.6953865e+002
  7.3477683e+006 -5.0000000e+002 -5.6291839e+002 -7.6954418e+002
  7.3477684e+006 -5.0000000e+002 -5.6693609e+002 -7.6954959e+002
  7.3477685e+006 -5.0000000e+002 -5.7095376e+002 -7.6955494e+002
  7.3477686e+006 -5.0000000e+002 -5.7497141e+002 -7.6956042e+002
  7.3477687e+006 -5.0000000e+002 -5.7898904e+002 -7.6956588e+002
  7.3477688e+006 -5.0000000e+002 -5.8300665e+002 -7.6957112e+002
  7.3477689e+006 -5.0000000e+002 -5.8702423e+002 -7.6957670e+002
  7.3477690e+006 -5.0000000e+002 -5.9104179e+002 -7.6958227e+002
  7.3477691e+006 -5.0000000e+002 -5.9505933e+002 -7.6958777e+002
  7.3477692e+006 -5.0000000e+002 -5.9907683e+002 -7.6959322e+002
  7.3477693e+006 -5.0000000e+002 -6.0309432e+002 -7.6959879e+002
  7.3477694e+006 -5.0000000e+002 -6.0711178e+002 -7.6960431e+002
  7.3477695e+006 -5.0000000e+002 -6.1112922e+002 -7.6960971e+002
  7.3477696e+006 -5.0000000e+002 -6.1514665e+002 -7.6961499e+002
  7.3477697e+006 -5.0000000e+002 -6.1916406e+002 -7.6962024e+002
  7.3477698e+006 -5.0000000e+002 -6.2318145e+002 -7.6962567e+002
  7.3477699e+006 -5.0000000e+002 -6.2719883e+002 -7.6963073e+002
  7.3477700e+006 -5.0000000e+002 -6.3121619e+002 -7.6963595e+002
  7.3477701e+006 -5.0000000e+002 -6.3523354e+002 -7.6964113e+002
  7.3477702e+006 -5.0000000e+002 -6.3925088e+002 -7.6964621e+002
  7.3477703e+006 -5.0000000e+002 -6.4326821e+002 -7.6965126e+002
  7.3477704e+006 -5.0000000e+002 -6.4728553e+002 -7.6965619e+002
  7.3477705e+006 -5.0000000e+002 -6.5130284e+002 -7.6966129e+002
  7.3477706e+006 -5.0000000e+002 -6.5532014e+002 -7.6966609e+002
  7.3477707e+006 -5.0000000e+002 -6.5933743e+002 -7.6967113e+002
  7.3477708e+006 -5.0000000e+002 -6.6335471e+002 -7.6967619e+002
  7.3477709e+006 -5.0000000e+002 -6.6737197e+002 -7.6968122e+002
  7.3477710e+006 -5.0000000e+002 -6.7138923e+002 -7.6968622e+002
  7.3477711e+006 -5.0000000e+002 -6.7540648e+002 -7.6969111e+002
  7.3477712e+006 -5.0000000e+002 -6.7942373e+002 -7.6969615e+002
  7.3477713e+006 -5.0000000e+002 -6.8344097e+002 -7.6970087e+002
  7.3477714e+006 -5.0000000e+002 -6.8745820e+002 -7.6970582e+002
  7.3477715e+006 -5.0000000e+002 -6.9147542e+002 -7.6971077e+002
